Name,Latitude,Longitude,Address,City,Post Code,Phone,Opening Times,,,,,,,,,,,,,,,
Asda Superstore Chaucer Sheffield,53.4289457,-1.4871887,Asda Superstore,Sheffield,S5 8NH,0114 2944250,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Ashbourne Library,53.0147089,-1.7315412,Compton,Ashbourne,DE6 1DA,0162 9533950,"Mon: 09:00 - 17:00, Tue: 09:00 - 19:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 19:00, Sat: 09:00 - 13:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Ashford Gateway Plus,51.1471787,0.872877,Church Road,Ashford,TN23 1AS,0845 8247202,"Mon: 09:00 - 20:00, Tue: 09:00 - 20:00, Wed: 09:00 - 20:00, Thu: 09:00 - 20:00, Fri: 09:00 - 18:00, Sat: 09:00 - 18:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Aspects ROC,50.436752,-3.5653652,35/37 Hyde Road,Paignton,TQ4 5BP,0180 3552955,"Mon: 08:00 - 17:00, Tue: 08:00 - 19:00, Wed: 08:00 - 17:00, Thu: 08:00 - 19:00, Fri: 08:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Assisted Living Leeds,53.7896273,-1.5294528,81 Clarence Road,Leeds,LS10 1LZ,0113 3783300,"Mon: 08:30 - 17:00, Tue: 08:30 - 17:00, Wed: 08:30 - 17:00, Thu: 08:30 - 17:00, Fri: 08:30 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Aviary Cafe,53.3819158,-2.9393185,Liverpool,Merseyside,L17 1AP,0151 2332008,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Aviemore Primary School and Community Centre,57.1968614,-3.8272782,Milton Park,Aviemore,PH22 1RR,0147 9810343,"Mon: 08:00 - 22:00, Tue: 07:00 - 22:00, Wed: 08:00 - 22:00, Thu: 07:00 - 22:00, Fri: 08:00 - 22:00, Sat: 10:00 - 16:00, Sun: 10:30 - 15:00",,,,,,,,,,,,,,,
Ayrshire Athletics Arena,55.6003977,-4.4853154,Queens Drive,Kilmarnock,KA1 3XF,0156 3555227,"Mon: 09:00 - 13:30, Tue: 09:00 - 13:30, Wed: 13:00 - 16:00, Thu: 09:00 - 13:30, Fri: 09:00 - 13:30, Sat: 09:00 - 13:00, Sun: 09:30 - 13:30",,,,,,,,,,,,,,,
Baird Centre (The),55.5432305,-4.5644116,Hansel,Symington,KA1 5PU,0156 3831402,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bakers Lane Public Conveniences,51.7011335,0.109852,Bakers Lane,Epping,CM16 5DQ,0199 2579444,"Mon: 08:30 - 17:00, Tue: 08:30 - 17:00, Wed: 08:30 - 17:00, Thu: 08:30 - 17:00, Fri: 08:30 - 17:00, Sat: 08:30 - 18:00, Sun: 08:30 - 18:00",,,,,,,,,,,,,,,
Barbican Camera Cafe,51.5209975,-0.0929778,Beech Street,London,EC2Y 8D,0207 6384141,"Mon: 08:00 - 22:30, Tue: 08:00 - 22:30, Wed: 08:00 - 22:30, Thu: 08:00 - 22:30, Fri: 08:00 - 22:30, Sat: 10:00 - 22:30, Sun: 10:00 - 22:30",,,,,,,,,,,,,,,
Barnes Park,54.894078,-1.4034607,Barnes Park Road,Sunderland,SR4 7PE,0191 5615111,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Barnsley Town Hall,53.5550694,-1.4822414,Church Street,Barnsley,S70 1QX,0122 6773090,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Barrhead Resource Centre,55.8038419,-4.396915,8 Carlibar Road,Barrhead,G78 1AA,0141 5778506,"Mon: 10:00 - 16:00, Tue: 10:00 - 16:00, Wed: 10:00 - 16:00, Thu: 10:00 - 16:00, Fri: 10:00 - 15:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Barrhead Health and Care Centre,55.8016695,-4.3887499,213 Main Street,Barrhead,G78 1SW,0141 8007004,"Mon: 08:30 - 16:00, Tue: 08:30 - 16:00, Wed: 08:30 - 16:00, Thu: 08:30 - 16:00, Fri: 08:30 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Basingstoke Discovery,51.2644749,-1.085506,Festival Place,Basingstoke,RG21 7LS,0125 6478670,"Mon: 08:30 - 18:30, Tue: 08:30 - 18:30, Wed: 08:30 - 18:30, Thu: 08:30 - 18:30, Fri: 08:30 - 18:30, Sat: 08:30 - 16:30, Sun: 11:00 - 17:00",,,,,,,,,,,,,,,
Batley Town Hall,53.7142464,-1.6338403,Market Place,Batley,WF17 5DA,0192 4324501,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Becontree Heath Leisure Centre,51.5608949,0.1490069,Althome way,Dagenham,RM10 7AY,0208 2273338,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 08:00 - 20:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Beechwood Leisure Centre,53.3951171,-3.0829732,18 Beechwood Drive,Wirral,CH43 7ZU,0151 6788020,"Mon: 08:30 - 22:30, Tue: 08:30 - 22:30, Wed: 08:30 - 22:30, Thu: 08:30 - 22:30, Fri: 08:30 - 22:30, Sat: 09:00 - 16:00, Sun: 09:00 - 16:00",,,,,,,,,,,,,,,
Beehive (The),50.8002443,-3.1952394,Dowell Street,Honiton,EX14 1LZ,0140 4384050,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bell's Sports Centre,56.4029009,-3.4353318,Hay Street,Perth,PH1 5HS,0173 8454647,"Mon: 09:00 - 22:00, Tue: 09:00 - 22:00, Wed: 09:00 - 22:00, Thu: 09:00 - 22:00, Fri: 09:00 - 22:00, Sat: 09:00 - 17:00, Sun: 09:00 - 17:00",,,,,,,,,,,,,,,
Bellshill Locality Support Services,55.8191774,-4.0307901,95 Main Street,Bellshill,ML4 3DZ,0169 8403520,"Mon: 08:45 - 17:00, Tue: 08:45 - 17:00, Wed: 08:45 - 17:00, Thu: 08:45 - 16:45, Fri: 08:45 - 16:15, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bernard Weatherill House,51.3716736,-0.1000049,8 Mint Walk,Croydon,CR0 1EA,0208 7266000,"Mon: 08:30 - 16:45, Tue: 08:30 - 16:45, Wed: 08:30 - 16:45, Thu: 08:30 - 16:45, Fri: 08:30 - 16:45, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Beverley Leisure Centre,53.8379181,-0.4213655,Flemingate,Beverley,HU17 0LT,0148 2881190,"Mon: 07:00 - 23:00, Tue: 07:00 - 23:00, Wed: 07:00 - 23:00, Thu: 07:00 - 23:00, Fri: 07:00 - 23:00, Sat: 08:00 - 22:00, Sun: 08:00 - 22:00",,,,,,,,,,,,,,,
Birmingham Airport,52.4523821,-1.7435071,Birmingham Airport,Birmingham,B26 3QJ,0871 2220072,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: 00:00 - 23:59, Sun: 00:00 - 23:59",,,,,,,,,,,,,,,
Bishop House Day Service (Facility 1),51.8679747,0.1515444,Windhill,Bishops Stortford,CM23 2NF,0199 2588555,"Mon: 08:30 - 16:15, Tue: 08:30 - 16:15, Wed: 08:30 - 16:15, Thu: 08:30 - 16:15, Fri: 08:30 - 16:15, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bishops House Day Service (Facility 2),51.8679747,0.1515444,Windhill,Bishops Stortford,CM23 2NF,0199 2588555,"Mon: 08:30 - 16:15, Tue: 08:30 - 16:15, Wed: 08:30 - 16:15, Thu: 08:30 - 16:15, Fri: 08:30 - 16:15, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Blackburn Market,53.7481451,-2.4826586,Shop Mobility,Church Street,BB1 5AF,0125 4699258,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 09:00 - 17:00, Sun: 09:00 - 17:00",,,,,,,,,,,,,,,
Blackpool Tower,53.8156863,-3.0558258,The Promenade,Blackpool,FY1 4BJ,0124 5629233,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Blaydon Leisure and Primary Care Centre (first floor),54.9582254,-1.6994246,Shibdon road,Blaydon,NE21 5NW,0191 4335770,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 08:30 - 16:00, Sun: 08:30 - 16:00",,,,,,,,,,,,,,,
Blaydon Leisure and Primary Care Centre (ground),54.9582254,-1.6994246,Shibdon road,Blaydon,NE21 5NW,0191 4335770,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bleachingfield Community Centre (The),56.0006473,-2.5202097,Countess Crescent,Dunbar,EH42 1DX,0136 8866001,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: 00:00 - 23:59, Sun: 00:00 - 23:59",,,,,,,,,,,,,,,
Bluewater Shopping Centre,51.4378079,0.2759123,Bluewater,Greenhithe,DA9 9ST,0132 2475475,"Mon: 10:00 - 21:00, Tue: 10:00 - 21:00, Wed: 10:00 - 21:00, Thu: 10:00 - 21:00, Fri: 10:00 - 21:00, Sat: 09:00 - 21:00, Sun: 11:00 - 17:00",,,,,,,,,,,,,,,
Cleethorpes Boating Lake Public Conveniences,53.5453483,-0.012656,Kings Road,Cleethorpes,DN35 0AG,0147 2313131,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bolton One,53.574687,-2.4347574,Moor Lane,Bolton,BL3 5BN,0845 2671219,"Mon: 06:00 - 22:00, Tue: 06:00 - 22:00, Wed: 06:00 - 22:00, Thu: 06:00 - 22:00, Fri: 06:00 - 22:00, Sat: 08:00 - 18:00, Sun: 08:00 - 22:00",,,,,,,,,,,,,,,
Boswell Centre,55.4716659,-4.2927925,Well Road,Auchinleck,KA18 2LA,0129 0428464,"Mon: 09:00 - 18:00, Tue: 09:00 - 18:00, Wed: 09:00 - 18:00, Thu: 09:00 - 18:00, Fri: 09:00 - 18:00, Sat: 09:30 - 13:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Bowhill Swimming Pool,56.1454416,-3.2645686,Station Road,Lochgelly,KY5 0BW,0159 2583304,"Mon: 10:00 - 21:30, Tue: 10:00 - 21:30, Wed: 10:00 - 21:30, Thu: 10:00 - 21:30, Fri: 10:00 - 21:30, Sat: 08:00 - 13:00, Sun: 08:00 - 13:00",,,,,,,,,,,,,,,
Bowling Pool,53.7791091,-1.7364217,Flockton Road,Bradford,BD4 7RH,0127 4727577,"Mon: 09:00 - 21:00, Tue: 07:30 - 21:00, Wed: 08:45 - 22:00, Thu: 07:30 - 21:30, Fri: 07:30 - 20:30, Sat: 08:30 - 16:30, Sun: 09:00 - 16:00",,,,,,,,,,,,,,,
Bradford Central Library,53.7912117,-1.7551491,Prince's Way,Bradford,BD1 1NN,0127 4433600,"Mon: 09:00 - 19:30, Tue: 09:00 - 19:30, Wed: 09:00 - 19:30, Thu: 09:00 - 19:30, Fri: 09:00 - 19:30, Sat: 09:00 - 17:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Bradgate Park,52.6821343,-1.2259014,Newtown Linford,Leicester,LE6 0HB,0116 2362713,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Braehead Shopping Centre,55.8759412,-4.3648011,Kings Inch Road,Glasgow,G51 4BN,0141 8854600,"Mon: 10:00 - 21:00, Tue: 10:00 - 21:00, Wed: 10:00 - 21:00, Thu: 10:00 - 21:00, Fri: 10:00 - 21:00, Sat: 09:00 - 18:30, Sun: 09:00 - 18:30",,,,,,,,,,,,,,,
Bramcote Leisure Centre,52.9370648,-1.2479832,Derby Road,Nottingham,NG9 3GF,0115 9173000,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 08:00 - 22:00, Sun: 08:00 - 22:00",,,,,,,,,,,,,,,
Brentwood Centre (Dryside),51.63383,0.2984201,Doddinghurst Road,Brentwood,CM15 9NN,0127 7215151,"Mon: 06:00 - 23:00, Tue: 06:00 - 23:00, Wed: 06:00 - 23:00, Thu: 06:00 - 23:00, Fri: 06:00 - 23:00, Sat: 07:00 - 22:00, Sun: 07:00 - 22:00",,,,,,,,,,,,,,,
Brentwood Centre (Wetside),51.6338566,0.2983343,Doddinghurst Road,Brentwood,CM15 9NN,0127 7215152,"Mon: 06:00 - 23:00, Tue: 06:00 - 23:00, Wed: 06:00 - 23:00, Thu: 06:00 - 23:00, Fri: 06:00 - 23:00, Sat: 07:00 - 22:00, Sun: 07:00 - 22:00",,,,,,,,,,,,,,,
Brentwood High Street Public Toilets,51.6211399,0.3047351,High Street,Brentwood,CM14 4RG,0127 7312500,"Mon: 07:30 - 18:00, Tue: 07:30 - 18:00, Wed: 07:30 - 18:00, Thu: 07:30 - 18:00, Fri: 07:30 - 18:00, Sat: 07:30 - 18:00, Sun: 07:30 - 18:00",,,,,,,,,,,,,,,
Briar Way Public Convenience,53.1417981,0.3386543,Briar Way,Skegness,PE25 3NR,0017 899887<,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Briars Pavilion,51.7549918,-0.229528,Briars Lane,Hatfield,AL10 8EY,0170 7346990,"Mon: 08:00 - 20:00, Tue: 08:00 - 20:00, Wed: 08:00 - 20:00, Thu: 08:00 - 20:00, Fri: 08:00 - 20:00, Sat: 09:00 - 19:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Bridlington Park and Ride,54.0710202,-0.2048554,Belvedere Parade,Bridlington,YO15 3LX,0126 2672140,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bridport Leisure Centre,50.7257678,-2.7632078,Brewery Fields,Bridport,DT6 5LN,"0013 427464
","Mon: 07:15 - 22:00, Tue: 07:15 - 22:00, Wed: 07:15 - 22:00, Thu: 07:15 - 22:00, Fri: 07:15 - 22:00, Sat: 09:15 - 17:30, Sun: 09:15 - 17:30",,,,,,,,,,,,,,,
