Name,Latitude,Longitude,Address,City,Post Code,Phone,Opening Times,,,,,,,,,,,,,,,
Hamelin Trust,51.6320321,0.4130177,19 Radford Crescent,Billericay,CM12 0DU,0127 7653889,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Haregate Community Centre,53.1150472,-2.0078498,46 Queens Drive,Leek,ST13 6DJ,0153 8398378,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 09:00 - 13:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Harlow Bus Station,51.7699779,0.0957735,Terminus Street,Harlow,CM20 1XA,0127 9426349,"Mon: 08:30 - 17:00, Tue: 08:30 - 17:00, Wed: 08:30 - 17:00, Thu: 08:30 - 17:00, Fri: 08:30 - 17:00, Sat: 11:00 - 14:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Harold Wood Polyclinic,51.5931757,0.2256843,The Drive off Gubbins Lane,Harold Wood,RM3 0FE,0170 8792000,"Mon: 08:00 - 20:00, Tue: 08:00 - 20:00, Wed: 08:00 - 20:00, Thu: 08:00 - 20:00, Fri: 08:00 - 20:00, Sat: 08:00 - 20:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Harrogate Library & Customer Service Centre,53.9907298,-1.5378747,Victoria Avenue,Harrogate,HG1 1EG,0845 0349520,"Mon: 09:00 - 19:00, Tue: 09:00 - 19:00, Wed: 09:00 - 19:00, Thu: 10:00 - 18:00, Fri: 09:00 - 19:00, Sat: 09:00 - 16:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Harrow College,51.6129603,-0.3392556,Harrow Weald Campus,Harrow,HA3 6RR,0208 9096461,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Harry Smith Complex,55.6734464,-3.770831,Thomas Taylor Avenue,Lanark,ML11 7DG,0155 5664419,"Mon: 08:45 - 15:45, Tue: 08:45 - 15:45, Wed: 08:45 - 15:45, Thu: 08:45 - 15:45, Fri: 08:45 - 15:45, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Hastings Adventure Playground,50.8705331,0.5947506,The Old Coachworks,Hastings,TN34 3PH,0142 4421201,"Mon: 15:30 - 18:30, Tue: 15:30 - 18:30, Wed: 15:30 - 18:30, Thu: 15:30 - 18:30, Fri: 15:30 - 18:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Hayridge (The),50.8543188,-3.3936196,"The Hayridge, Exeter Hill",Cullompton,EX15 1DJ,0139 2388400,"Mon: 08:30 - 18:00, Tue: 08:30 - 18:00, Wed: 08:30 - 18:00, Thu: 08:30 - 18:00, Fri: 08:30 - 18:00, Sat: 09:00 - 13:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Headingley HEART,53.820475,-1.5785629,Bennett Road,Headingley,LS6 3HN,0113 2754548,"Mon: 09:00 - 23:00, Tue: 09:00 - 23:00, Wed: 09:00 - 23:00, Thu: 09:00 - 23:00, Fri: 09:00 - 23:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Heartlands,50.2210245,-5.2709677,Robinsons Shaft,Cornwall,TR15 3QY,0120 9722320,"Mon: 07:00 - 23:00, Tue: 07:00 - 23:00, Wed: 07:00 - 23:00, Thu: 07:00 - 23:00, Fri: 07:00 - 23:00, Sat: 07:00 - 23:00, Sun: 07:00 - 23:00",,,,,,,,,,,,,,,
Heathrow Airport Terminal 5,51.4713012,-0.4878265,Gate Seating Level 20,London,TW6 2GA,0844 3351801,"Mon: 05:00 - 22:00, Tue: 05:00 - 22:00, Wed: 05:00 - 22:00, Thu: 05:00 - 22:00, Fri: 05:00 - 22:00, Sat: 05:00 - 22:00, Sun: 05:00 - 22:00",,,,,,,,,,,,,,,
Heathrow Airport Terminal 2,51.4697076,-0.4518416,Gate 18 Arrivals,London,TW6 1EW,0844 3351801,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Heely City Farm,53.3629424,-1.4683001,Richards Road,Sheffield,S2 3DT,0114 2580482,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 09:00 - 17:00, Sun: 09:00 - 17:00",,,,,,,,,,,,,,,
Henshaw Arts and Craft Centre,54.010932,-1.472612,Bond End,Knaresborough,HG5 9AL,0142 3541888,"Mon: 10:00 - 16:00, Tue: 10:00 - 16:00, Wed: 10:00 - 16:00, Thu: 10:00 - 16:00, Fri: 10:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Hereford Leisure Centre,52.0506827,-2.7175332,St. Martin's Avenue,Hereford,HR2 7RQ,0845 2412562,"Mon: 07:00 - 21:30, Tue: 07:00 - 21:30, Wed: 07:00 - 21:30, Thu: 07:00 - 21:30, Fri: 07:00 - 21:30, Sat: 08:00 - 17:00, Sun: 08:00 - 17:00",,,,,,,,,,,,,,,
Old Hereford Market - Shopping Centre,52.0580748,-2.7175365,Newmarket Street,Hereford,HR4 9HR,0143 2264109,"Mon: 09:30 - 20:00, Tue: 09:30 - 20:00, Wed: 09:30 - 20:00, Thu: 09:30 - 20:00, Fri: 09:30 - 20:00, Sat: 09:00 - 18:00, Sun: 11:00 - 17:00",,,,,,,,,,,,,,,
Heworth Leisure centre,54.9470247,-1.5518129,High Lanes,Gateshead,NE10 0PD,0191 4335715,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 08:30 - 16:00, Sun: 08:30 - 16:00",,,,,,,,,,,,,,,
HFT Head Office,51.5047653,-2.484122,5/6 Brook Office Park,Bristol,BS16 7FL,0117 9061700,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
HFT Kingston Resource Centre,51.4016379,-0.2730686,Springfield Road,New Malden,KT3 3LJ,0208 9429769,"Mon: 09:30 - 16:00, Tue: 09:30 - 16:00, Wed: 09:30 - 16:00, Thu: 09:30 - 16:00, Fri: 09:30 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
HFT Resource Centre,52.174739,-1.8562826,7 Waterloo Road,Bidford-on-Avon,B50 4JP,0178 9772141,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Highcross Shopping Centre,52.6358383,-1.137489,5 Shires Lane,Leicester,LE1 4AN,0116 2428644,"Mon: 09:30 - 22:00, Tue: 09:30 - 22:00, Wed: 09:30 - 22:00, Thu: 09:30 - 22:00, Fri: 09:30 - 22:00, Sat: 09:00 - 19:00, Sun: 11:00 - 17:00",,,,,,,,,,,,,,,
Highgrove Pool,51.5803735,-0.410642,Hume Way,Ruislip,HA4 8DZ,0819 5630753,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 08:00 - 17:30, Sun: 08:00 - 17:30",,,,,,,,,,,,,,,
Hillworth Park,51.346739,-1.9940617,Queens Road,Devizes,SN10 5HR,,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Hive (The),52.1939054,-2.2258151,Sawmill Walk,Worcester,WR1 3PB,0190 5822866,"Mon: 08:30 - 22:00, Tue: 08:30 - 22:00, Wed: 08:30 - 22:00, Thu: 08:30 - 22:00, Fri: 08:30 - 22:00, Sat: 08:30 - 22:00, Sun: 08:30 - 22:00",,,,,,,,,,,,,,,
Holt Park Active 1,53.8582253,-1.612066,Holtdale Approach,Leeds,LS156 7R,0113 3781301,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 08:00 - 18:30, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Holt Park Avenue 2,53.856443,-1.6079952,Holtdale Approach,Leeds,LS16 7RX,0113 3781301,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 08:00 - 18:30, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Horncastle Swimming Pool,53.2061337,-0.1207108,Coronation Walk,Horncastle,LN9 6HP,0150 7522489,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: 07:00 - 20:00, Sat: 07:00 - 16:00, Sun: 07:00 - 16:00",,,,,,,,,,,,,,,
Houses of Parliament,51.4998403,-0.1246627,London,,SW1A 0AA,0207 2194266,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Howdon Library and Family Learning Centre,54.9969396,-1.5034199,Churchill Street,Howdon,NE28 7TG,0191 6432070,"Mon: 09:00 - 17:30, Tue: 09:00 - 19:00, Wed: 09:00 - 17:30, Thu: 09:00 - 19:00, Fri: 09:00 - 17:30, Sat: 09:00 - 17:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Hoyland Centre (The),53.4994175,-1.437951,High Croft,Hoyland,S74 9AF,0122 6774621,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 09:00 - 12:00, Sun: 09:00 - 12:00",,,,,,,,,,,,,,,
Hub (The),53.1051822,-1.3434112,Shiners Way,South Normanton,DE55 2AA,0162 9535000,"Mon: 08:00 - 18:00, Tue: 08:00 - 18:00, Wed: 08:00 - 18:00, Thu: 08:00 - 18:00, Fri: 08:00 - 18:00, Sat: 09:00 - 12:00, Sun: 09:00 - 12:00",,,,,,,,,,,,,,,
Huddersfield Town Hall,53.644208,-1.782567,Ramsdon Street,Huddersfield,HO1 2TA,0148 4223200,"Mon: 08:00 - 19:00, Tue: 08:00 - 19:00, Wed: 08:00 - 19:00, Thu: 08:00 - 19:00, Fri: 08:00 - 19:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Huyton Municipal Buildings One Stop Shop,53.4115618,-2.8406951,Archway Road,Knowsley,L36 9YU,0151 4896000,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 10:00 - 12:30, Sun: 10:00 - 12:30",,,,,,,,,,,,,,,
Hylands Park Estate,51.7174699,0.4515473,London Road,Chelmsford,CM2 8WG,0124 5605500,"Mon: 09:30 - 15:00, Tue: 09:30 - 15:00, Wed: 09:30 - 15:00, Thu: 09:30 - 15:00, Fri: 09:30 - 15:00, Sat: 10:00 - 16:00, Sun: 10:00 - 16:00",,,,,,,,,,,,,,,
Hyndburn Leisure Centre,53.7545561,-2.3877319,Henry Street,Accrington,BB5 4EP,0125 4385945,"Mon: 07:15 - 22:00, Tue: 07:15 - 22:00, Wed: 07:15 - 22:00, Thu: 07:15 - 22:00, Fri: 07:15 - 22:00, Sat: 09:00 - 17:00, Sun: 09:00 - 17:00",,,,,,,,,,,,,,,
IKEA,55.8803804,-3.1683881,Straiton Road,Loanhead,EH20 9PW,0845 3552265,"Mon: 10:00 - 21:00, Tue: 10:00 - 21:00, Wed: 10:00 - 21:00, Thu: 10:00 - 21:00, Fri: 10:00 - 21:00, Sat: 10:00 - 19:00, Sun: 10:00 - 19:00",,,,,,,,,,,,,,,
Ilkley Pool Lido,53.9317379,-1.8074843,Denton Road,Ilkley,LS29 0BZ,0194 3600453,"Mon: 07:00 - 22:00, Tue: 08:30 - 22:30, Wed: 07:00 - 22:00, Thu: 08:30 - 22:00, Fri: 07:00 - 21:00, Sat: 08:00 - 16:00, Sun: 08:30 - 14:00",,,,,,,,,,,,,,,
"Immingham Town Council, Civic Offices",53.6155612,-0.2114945,Pelham Road,Immingham,DN40 1QF,0146 9572763,"Mon: 08:00 - 17:00, Tue: 08:00 - 17:00, Wed: 08:00 - 17:00, Thu: 08:00 - 17:00, Fri: 08:00 - 17:00, Sat: 08:00 - 17:00, Sun: Contact for Information",,,,,,,,,,,,,,,
intu Victoria Centre,52.9568867,-1.1472268,222 Victoria Centre,Nottingham,NG1 3QN,0115 9121111,"Mon: 09:00 - 18:00, Tue: 09:00 - 18:00, Wed: 09:00 - 19:30, Thu: 09:00 - 18:00, Fri: 09:00 - 18:00, Sat: 09:00 - 19:00, Sun: 11:00 - 17:00",,,,,,,,,,,,,,,
Inverness College,57.4850109,-4.2226018,3 Longman Road,Inverness,IV1 1SA,0146 3273000,"Mon: 08:00 - 19:00, Tue: 08:00 - 19:00, Wed: 08:00 - 19:00, Thu: 08:00 - 19:00, Fri: 08:00 - 19:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Ironstone Centre (The),53.5921937,-0.6525432,West Street,Scunthorpe,DN15 6HX,0172 4292099,"Mon: 08:00 - 20:00, Tue: 08:00 - 20:00, Wed: 08:00 - 21:00, Thu: 08:00 - 20:00, Fri: 08:00 - 20:00, Sat: 08:00 - 20:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Isla Money Community Centre,55.7722689,-3.9652243,Muirhouse Road,Motherwell,ML1 2LT,0169 8263615,"Mon: 09:00 - 21:30, Tue: 09:00 - 21:30, Wed: 09:00 - 21:30, Thu: 09:00 - 21:30, Fri: 09:00 - 14:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
James Cook University Hospital,54.5522997,-1.2105689,Marton Road,Middlesbrough,TS4 3BW,0164 2850850,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: 00:00 - 23:59, Sun: 00:00 - 23:59",,,,,,,,,,,,,,,
John Charles Centre for Sport,53.7644251,-1.543987,Middleton Grove,Leeds,LS11 5DJ,0113 3950000,"Mon: 07:00 - 21:30, Tue: 07:00 - 21:00, Wed: 07:00 - 20:30, Thu: 07:00 - 21:30, Fri: 07:00 - 20:30, Sat: 07:30 - 17:30, Sun: 09:00 - 16:00",,,,,,,,,,,,,,,
Jubilee Lodge,53.9512609,-2.0254847,Carleton Road,Skipton,BD23 2BE,0175 6700720,"Mon: 10:00 - 17:00, Tue: 10:00 - 17:00, Wed: 10:00 - 17:00, Thu: 10:00 - 17:00, Fri: 10:00 - 17:00, Sat: 10:00 - 17:00, Sun: 10:00 - 17:00",,,,,,,,,,,,,,,
Jubilee 2 (Suite),53.0125746,-2.2213262,Brunswick Street,Newcastle-under-Lyme,ST5 2AG,0178 2616606,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 08:00 - 20:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Jubilee2 (Changing),53.0125746,-2.2213262,Brunswick Street,Newcastle-under-Lyme,ST5 2AG,0178 2616606,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 08:00 - 20:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Junction 32 Outlet Shopping Village,53.7110501,-1.3405892,Tomahawk Trail,Glasshoughton,WF10 4FR,0197 7520153,"Mon: 10:00 - 20:00, Tue: 10:00 - 20:00, Wed: 10:00 - 20:00, Thu: 10:00 - 20:00, Fri: 10:00 - 20:00, Sat: 10:00 - 18:00, Sun: 11:00 - 17:00",,,,,,,,,,,,,,,
Keighley Leisure Centre,53.8710691,-1.9045295,Lawkholme Lane,Keighley,BD21 3JN,0153 5681763,"Mon: 09:00 - 22:00, Tue: 09:00 - 22:00, Wed: 09:00 - 22:00, Thu: 09:00 - 22:00, Fri: 09:00 - 22:00, Sat: 09:00 - 18:00, Sun: 09:00 - 18:00",,,,,,,,,,,,,,,
Ken Martin Leisure Centre,53.0084153,-1.1917398,Hucknall Lane,Bulwell,NG6 8AP,0115 9151555,"Mon: 09:00 - 22:00, Tue: 07:30 - 22:00, Wed: 07:30 - 22:00, Thu: 08:00 - 22:00, Fri: 08:00 - 20:00, Sat: 08:30 - 17:00, Sun: 09:00 - 18:00",,,,,,,,,,,,,,,
Kennet Shopping Centre,51.3990346,-1.323977,Market Street,Newbury,RG14 5EN,0163 5407480,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: 10:00 - 17:00",,,,,,,,,,,,,,,
Kew Gardens,51.4836507,-0.2897468,Royal Botanic Gardens,"Richmond,",TW9 3AB,0208 3325655,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Keynsham Leisure Centre,51.4130216,-2.4974062,Temple Street,Keynsham,BS31 1HE,0122 5395164,"Mon: 06:30 - 22:30, Tue: 06:30 - 22:30, Wed: 06:30 - 22:30, Thu: 06:30 - 22:30, Fri: 06:30 - 22:30, Sat: 08:00 - 19:30, Sun: 08:00 - 21:30",,,,,,,,,,,,,,,
Kincorth Sports Centre,57.12356,-2.1028841,Corthan Crescent,Aberdeen,AB12 5BB,0122 4879759,"Mon: 09:00 - 22:00, Tue: 09:00 - 22:00, Wed: 09:00 - 22:00, Thu: 09:00 - 22:00, Fri: 09:00 - 22:00, Sat: 09:00 - 21:00, Sun: 09:00 - 21:00",,,,,,,,,,,,,,,
Kingfisher Place,53.7751946,-1.1228759,North Yorkshire County Council,Selby,YO8 4AL,0160 9535635,"Mon: 08:30 - 17:00, Tue: 08:30 - 17:00, Wed: 08:30 - 17:00, Thu: 08:30 - 17:00, Fri: 08:30 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
King's Cross Railway Station,51.5321816,-0.1238712,Euston Road,London,N1C 4AP,0751 5624996,"Mon: 05:00 - 01:40, Tue: 05:00 - 01:40, Wed: 05:00 - 01:40, Thu: 05:00 - 01:40, Fri: 05:00 - 01:40, Sat: 05:00 - 01:15, Sun: 05:30 - 13:40",,,,,,,,,,,,,,,
"Kingswood Civic Centre, One Stop Shop",51.4621443,-2.5010246,High Street,Kingswood,BS15 9TR,0145 4863101,"Mon: 08:45 - 17:00, Tue: 08:45 - 17:01, Wed: 08:45 - 17:02, Thu: 08:45 - 16:30, Fri: 08:45 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Kinson Hub (The),50.7690024,-1.901652,"Wimborne Road,",Kinson,BH11 9AW,0120 2451915,"Mon: 10:00 - 19:00, Tue: 09:30 - 19:00, Wed: 09:30 - 17:00, Thu: 09:30 - 19:00, Fri: 09:30 - 19:00, Sat: 10:00 - 16:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Kirkcaldy Leisure Centre (Wet),56.1109744,-3.1565285,Esplanade,Kirkcaldy,KY1 1HR,0159 2583306,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 08:00 - 18:00, Sun: 08:00 - 18:00",,,,,,,,,,,,,,,
Kirkcaldy Art Gallery & Museum,56.1123121,-3.1658067,War Memorial Gardens,Kirkcaldy,KY1 1YG,0159 2583213,"Mon: 12:00 - 19:00, Tue: 09:30 - 19:00, Wed: 09:30 - 17:00, Thu: 09:30 - 19:00, Fri: 09:30 - 17:00, Sat: 09:30 - 16:00, Sun: 12:00 - 16:00",,,,,,,,,,,,,,,
Kirkcaldy Town House,56.1101202,-3.1622634,2 Wemyssfield,Kirkcaldy,KY1 1XW,0345 1550000,"Mon: 07:00 - 20:00, Tue: 07:00 - 20:00, Wed: 07:00 - 20:00, Thu: 07:00 - 20:00, Fri: 07:00 - 20:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Kirkwall Travel Centre,58.9828983,-2.9617982,The Travel Centre,Orkney,KW15 1GU,0185 6872856,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: 10:00 - 16:00, Sun: 10:00 - 16:00",,,,,,,,,,,,,,,
Knaresborough Swimming Pool,54.0052523,-1.4620782,King James Road,Knaresborough,HG5 8EB,0142 3860011,"Mon: 07:30 - 21:00, Tue: 07:30 - 21:00, Wed: 07:30 - 21:00, Thu: 07:30 - 21:00, Fri: 07:30 - 21:00, Sat: 07:30 - 19:30, Sun: 07:30 - 19:30",,,,,,,,,,,,,,,
Knowsley Leisure & Culture Park,53.4147717,-2.8244987,Longview Drive,Huyton,L36 6EG,0151 4432200,"Mon: 06:00 - 22:00, Tue: 06:00 - 22:00, Wed: 06:00 - 22:00, Thu: 06:00 - 22:00, Fri: 06:30 - 21:00, Sat: 09:00 - 19:00, Sun: 09:00 - 22:00",,,,,,,,,,,,,,,
Lady Place Car Park,51.1471739,-0.9781429,Lady Place Car Park,Alton,GU34 1EN,0173 0234247,"Mon: 06:00 - 22:00, Tue: 06:00 - 22:00, Wed: 06:00 - 22:00, Thu: 06:00 - 22:00, Fri: 06:00 - 22:00, Sat: 06:00 - 22:00, Sun: 06:00 - 22:00",,,,,,,,,,,,,,,
Larches Day Centre,51.3359142,-0.2676245,44 Waterloo Road,Epsom,KT19 8EX,0148 3806806,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
LC Leisure Centre,51.6175264,-3.9409884,Oystermouth Road,Swansea,SA1 3ST,0179 2466500,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 08:00 - 21:00, Sun: 08:00 - 21:00",,,,,,,,,,,,,,,
Leasowe Leisure Centre,53.4143803,-3.0963787,Twickenham Drive,Wirral,CH46 1PF,0151 6664172,"Mon: 07:30 - 22:00, Tue: 07:30 - 22:00, Wed: 07:30 - 22:00, Thu: 07:30 - 22:00, Fri: 07:30 - 22:00, Sat: 09:00 - 20:00, Sun: 09:00 - 20:00",,,,,,,,,,,,,,,
Leechmere Centre,54.8799356,-1.3722189,Carremere Road,Sunderland,SR2 9TQ,0191 5205000,"Mon: 08:30 - 17:00, Tue: 08:30 - 17:00, Wed: 08:30 - 17:00, Thu: 08:30 - 17:00, Fri: 08:30 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Leeds Bradford Airport,53.8692182,-1.6596176,Whitehouse Lane,Leeds,LS19 7TU,0871 2882288,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Leicestershire Centre for Integrated Living,52.6330828,-1.1491951,The West End Centre,Leicester,LE3 5PA,0116 2225005,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Leigh Sports Village,53.4895967,-2.5302243,Leigh Sports Stadium,Leigh,WN7 4JY,0194 2487865,"Mon: 09:00 - 16:30, Tue: 09:00 - 16:30, Wed: 09:00 - 16:30, Thu: 09:00 - 16:30, Fri: 09:00 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Leighton Hospital,53.1111493,-2.4816246,Middlewich Road,Crewe,CW1 4QJ,0127 0255141,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Leisure Bowl (The),56.1178937,-3.7934253,Parkway,Alloa,FK10 2AT,0125 9723527,"Mon: 09:00 - 22:00, Tue: 09:00 - 22:00, Wed: 09:00 - 22:00, Thu: 09:00 - 22:00, Fri: 09:00 - 22:00, Sat: 09:00 - 18:00, Sun: 09:00 - 21:00",,,,,,,,,,,,,,,
Leisure World Colchester,51.8976846,0.9038885,Cowdray Avenue,Colchester,CO1 1YH,0120 6282000,"Mon: 06:00 - 22:15, Tue: 06:00 - 22:30, Wed: 06:00 - 22:30, Thu: 06:00 - 22:30, Fri: 06:00 - 22:15, Sat: 06:00 - 21:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Leominster,52.2241114,-2.7381385,Coningsby Road,Leominster,R6 8LL,0300 0121222,"Mon: 07:15 - 22:00, Tue: 07:00 - 22:00, Wed: 07:15 - 22:00, Thu: 07:15 - 22:00, Fri: 07:15 - 22:00, Sat: 09:00 - 18:00, Sun: 09:00 - 21:00",,,,,,,,,,,,,,,
Lescudjack Centre (The),50.1259633,-5.5390668,Penmere Close,Penzance,TR18 3PE,0173 6334850,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Level (The),50.8293091,-0.1351632,St.Peter's Place,Brighton,BN1 4SA,0127 3292929,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Genting Arena,52.451054,-1.725112,The NEC,Birmingham,B40 1NT,0121 7804141,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Library of Birmingham,52.4782557,-1.9099031,Broad Street,Birmingham,B1 2ND,0121 3034511,"Mon: 08:00 - 20:00, Tue: 08:00 - 20:00, Wed: 08:00 - 20:00, Thu: 08:00 - 20:00, Fri: 08:00 - 20:00, Sat: 09:00 - 17:00, Sun: 11:00 - 16:00",,,,,,,,,,,,,,,
Lilybank Resource Centre,56.6446658,-2.8724855,Arbroath Road,Forfar,DD8 2JJ,0130 7466788,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
